Date,Time,psi,temperature,altitude,CO2level,relativeHumidity,scdTemperature
1/1/2001,12:00,123.123,234.234,345.345,456.456,567.567,678.678
1/2/2001,13:00,124.123,234.234,345.345,456.456,567.567,678.678
1/3/2001,14:00,125.123,234.234,345.345,456.456,567.567,678.678
1/4/2001,15:00,126.123,234.234,345.345,456.456,567.567,678.678
1/5/2001,16:00,127.123,234.234,345.345,456.456,567.567,678.678
1/6/2001,17:00,128.123,234.234,345.345,456.456,567.567,678.678
1/7/2001,18:00,129.123,234.234,345.345,456.456,567.567,678.678
1/8/2001,19:00,130.123,234.234,345.345,456.456,567.567,678.678
1/9/2001,20:00,131.123,234.234,345.345,456.456,567.567,678.678
1/10/2001,21:00,132.123,234.234,345.345,456.456,567.567,678.678
1/11/2001,22:00,133.123,234.234,345.345,456.456,567.567,678.678
1/12/2001,23:00,134.123,234.234,345.345,456.456,567.567,678.678
1/13/2001,0:00,135.123,234.234,345.345,456.456,567.567,678.678
1/14/2001,1:00,136.123,234.234,345.345,456.456,567.567,678.678
1/15/2001,2:00,137.123,234.234,345.345,456.456,567.567,678.678
1/16/2001,3:00,138.123,234.234,345.345,456.456,567.567,678.678
1/17/2001,4:00,139.123,234.234,345.345,456.456,567.567,678.678
1/18/2001,5:00,140.123,234.234,345.345,456.456,567.567,678.678
1/19/2001,6:00,141.123,234.234,345.345,456.456,567.567,678.678
1/20/2001,7:00,142.123,234.234,345.345,456.456,567.567,678.678
1/21/2001,8:00,143.123,234.234,345.345,456.456,567.567,678.678
1/22/2001,9:00,144.123,234.234,345.345,456.456,567.567,678.678
1/23/2001,10:00,145.123,234.234,345.345,456.456,567.567,678.678
1/24/2001,11:00,146.123,234.234,345.345,456.456,567.567,678.678
1/25/2001,12:00,147.123,234.234,345.345,456.456,567.567,678.678
1/26/2001,13:00,148.123,234.234,345.345,456.456,567.567,678.678
1/27/2001,14:00,149.123,234.234,345.345,456.456,567.567,678.678
1/28/2001,15:00,150.123,234.234,345.345,456.456,567.567,678.678
1/29/2001,16:00,151.123,234.234,345.345,456.456,567.567,678.678
1/30/2001,17:00,152.123,234.234,345.345,456.456,567.567,678.678
1/31/2001,18:00,153.123,234.234,345.345,456.456,567.567,678.678
2/1/2001,19:00,154.123,234.234,345.345,456.456,567.567,678.678
2/2/2001,20:00,155.123,234.234,345.345,456.456,567.567,678.678
2/3/2001,21:00,156.123,234.234,345.345,456.456,567.567,678.678
2/4/2001,22:00,157.123,234.234,345.345,456.456,567.567,678.678
